,Name,X,Y,WIDTH,HEIGHT,RedBr,GreenBr,BlueBr,SCORE
0,00000a71741-a872-427b-8e3e-2f820ccb65ad.jpg,61,83,131,131,163.72,166.88,174.64,0.450065861
1,00000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,80,76,110,110,178.23,128.81,137.75,0.294500645
2,00004c47-fe3b-46ce-bc2d-2fe223e2c897.jpg,46,75,143,143,204.89,155.16,154.19,0.561623632
3,0000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,55,55,151,151,180.56,130.4,139.31,0.455143013
4,0000fea2-7920-46fd-b0b6-9e5da503356e.jpg,47,75,141,141,177.03,119.9,127.55,0.5672943770000001
5,000153b2-ea35-46da-a7cc-a72973743c0e.jpg,84,83,124,124,216.99,166.7,135.23,0.31878218
6,000156ea-64a9-4d86-afdf-91ca66be216d.jpg,47,74,156,156,187.91,142.57,128.99,0.5336035410000001
7,00028123-b71c-4e1b-a83b-5766d639a373.jpg,53,64,148,148,185.13,146.91,142.97,0.6234271029999999
8,0002be12-de6d-41f2-ac83-59760f29401f.jpg,33,75,142,142,174.83,150.97,150.35,0.43137174
9,0002ed81-0262-43b1-89d4-a0403e5f0c28.jpg,58,53,134,134,157.31,86.43,69.47,0.361669519
10,00033a20-a7ac-4fee-a245-fbfa6716c139.jpg,39,46,175,175,199.94,157.5,145.76,0.39293176700000004
11,00043746-bd61-4f39-acdc-c6804ca4ffc0.jpg,27,56,178,178,220.25,178.68,174.01,0.366173253
12,00050569-4d6a-4dc5-8b1e-2363b78571f4.jpg,64,49,117,117,211.32,151.29,130.26,0.245141495
13,0005d51d-df40-4579-93b1-611148b47e88.jpg,73,69,127,127,134.81,95.78,87.79,0.43663957
14,0005e6cb-76d1-4e06-abdb-3181e3d13909.jpg,67,80,122,122,197.52,141.44,146.63,0.35985030100000004
15,0005eb31-aaf8-4931-bf53-3d8f040e2d8a.jpg,58,79,131,131,209.83,165.8,151.58,0.439355885
16,00060081-a50a-4f80-9a39-962a237b295e.jpg,72,60,121,121,209.79,175.37,170.01,0.326024465
17,0007210c-e6bd-4447-9fc8-d23bce82cfa1.jpg,28,63,187,187,204.64,132.33,99.79,0.31361957100000004
18,00077da0-8ee8-4591-a039-a4b9ac5ad76e.jpg,40,72,178,178,153.26,93.84,81.19,0.34160207
19,00083b92-ceb0-4dd1-b8ad-199e81ec34a5.jpg,52,81,146,146,208.72,167.42,171.87,0.534550466
20,0008410d-49ed-444d-b9dc-4f5ab7ae5d12.jpg,63,65,142,142,175.12,131.03,125.14,0.48426434
21,0009a40c-3c5b-44ff-84d3-62bdf4756e38.jpg,32,61,170,170,197.18,143.69,138.41,0.4430731
22,000a7866-6f5f-423b-a9ea-f47b79a034c8.jpg,58,67,134,134,239.05,187.82,163.77,0.518869598
23,000afafc-26e6-4374-875c-47d12948d835.jpg,37,77,183,183,159.36,123.15,117.51,0.281701543
24,000afec1-fc1b-4700-9b6f-bf7d51197f5c.jpg,41,63,159,159,207.35,161.72,129.1,0.592530385
25,000b1933-9d15-45b1-a907-49efe334babf.jpg,51,56,155,155,208.27,140.84,120.77,0.526316615
26,000b4141-6310-4848-bae4-1cefa1215de7.jpg,84,56,123,123,177.78,125.93,115.84,0.26761009
27,000b735d-90ab-4f8e-bafd-15954799d15d.jpg,53,71,142,142,202.39,157.66,164.37,0.596979948
28,000b836d-c2e7-487f-9624-375c41690ae5.jpg,48,52,167,167,228.09,185.46,186.74,0.49893827700000004
29,000bea74-bae6-491e-9e8f-ecf2b63b13a1.jpg,57,86,150,150,226.26,157.52,145.54,0.377575751
30,000da9a2-ffec-4a57-8029-0a549d9a5566.jpg,50,54,159,159,213.74,180.94,181.81,0.524882517
31,000db474-7afb-4e5d-a346-0cf4f456828d.jpg,51,66,157,157,208.38,125.22,96.26,0.5968794
32,000e130f-c220-4a27-97b0-8fc72921b108.jpg,55,69,140,140,192.98,146.18,124.99,0.567210175
33,000e173c-dc1e-416c-a391-c711783ba2a8.jpg,45,56,146,146,182.94,136.16,127.19,0.450236464
34,000e4019-fec8-406e-9fd5-9b6df85633be.jpg,59,67,150,150,225.93,180.22,173.28,0.64
35,000e9a92-090c-4472-8993-14a8c7406c03.jpg,41,70,166,166,207.5,135.3,149.84,0.454096664
36,000ea717-73b8-49da-8961-45aea2f274c8.jpg,17,41,162,162,146.93,121.42,133.37,0.2547829
37,000f311c-c22e-4885-a640-2b2513de1ce2.jpg,49,65,151,151,224.11,168.67,145.24,0.8106011259999999
38,000f9e50-58ec-42d7-b2dc-885d7b6940ab.jpg,56,55,136,136,205.88,147.99,127.92,0.39137872100000004
39,000fd56a-a79b-47b9-9af3-65486ca3cc1e.jpg,57,67,141,141,191.42,147.82,136.69,0.635956362
40,001051dc-9482-415a-91ec-bc38a0c2d36d.jpg,41,62,153,153,227.44,164.06,163.54,0.5638463779999999
41,0010f9b8-db20-4681-b33d-b96aeb65f37f.jpg,57,73,147,147,175.16,122.75,111.68,0.544761525
42,0011c7e9-a940-42c4-8055-fe7d48b794ee.jpg,34,64,175,175,171.12,150.9,155.86,0.39641921399999996
43,0011d1d5-dca8-4bee-b8ce-41257aca9bc7.jpg,52,65,142,142,201.26,165.02,189.38,0.573916931
44,0012442c-990e-4dd3-acdc-5ee1dfacef58.jpg,54,75,135,135,215.83,154.35,151.27,0.486911999
45,00129fb6-1e98-4ff2-8f3e-92cf87f09dc9.jpg,56,71,141,141,206.75,157.16,151.32,0.584063749
46,0012ee9d-871a-448f-a288-e6f54554b3e6.jpg,56,59,148,148,197.3,157.61,141.9,0.48895672799999995
47,0013f0a9-7a21-4f9f-b0cb-5f0042596460.jpg,54,64,136,136,223.76,151.81,144.54,0.477063966
48,001469fe-1b6b-45c7-ac4f-ce3b16ddb5cd.jpg,32,60,184,184,207.77,152.08,145.4,0.324093058
49,0014b8c4-a923-4515-bc2c-afaf08f4706c.jpg,66,67,140,140,210.5,157.6,154.76,0.503153992
50,0016db61-bcec-474c-99f3-a7c682642947.jpg,43,70,157,157,184.65,124.76,107.81,0.582391178
51,0017028c-2fbb-465d-beaa-18f54bed4524.jpg,37,76,138,138,153.36,113.16,94.04,0.401044403
52,0017355d-0855-4ca9-a70b-2fb9b78123c4.jpg,42,86,142,142,149.97,122.67,107.74,0.38039458200000004
53,0017c94a-3af8-47ce-9da5-100a1f1c8fa7.jpg,54,77,139,139,186.67,144.95,158.17,0.558855647
54,0018428d-d2b2-44d9-a3a5-b2f66c73fbcd.jpg,53,64,146,146,223.89,171.93,148.76,0.666070385
55,00186ffd-7e41-43d4-ae27-836ce8a8a7af.jpg,41,59,159,159,208.21,162.33,152.41,0.606418845
56,0018ca1d-d885-4ada-b208-1e167acf5093.jpg,46,73,156,156,184.15,152.23,130.89,0.544621145
57,0018dd65-4f66-4493-962a-d656d2a02ef9.jpg,66,55,141,141,209.57,160.64,150.51,0.357118834
58,00190ea6-6458-4baa-a203-b7c2e889f285.jpg,63,93,126,126,148.3,121.68,110.84,0.39572131299999996
59,001a031f-22a2-4ee1-b398-f0310a0cce90.jpg,38,72,118,118,158.97,129.51,111.51,0.281956284
60,001a5380-b637-4035-bddf-30c7f6f84b2d.jpg,40,51,178,178,140.86,81.27,79.01,0.36108232700000004
61,001a8728-4cf4-44ec-b423-bfeb5dd05e6f.jpg,45,68,153,153,162.42,126.18,113.04,0.681991061
62,001a91aa-2653-4e66-a9df-d73104986c01.jpg,59,79,135,135,163.22,119.07,101.65,0.494541299
63,001b3e58-0489-4367-bb1f-98de0a6efb3f.jpg,0,0,0,0,0.0,0.0,0.0,0.0
64,001c8977-d70c-4df9-beb7-bc267fb09427.jpg,30,64,168,168,233.55,173.47,172.37,0.474110845
65,001cdd15-376c-41c0-8868-9351577cb6d1.jpg,59,54,155,155,184.61,153.07,151.74,0.40019368299999997
66,001d1a3c-bac2-49b6-b968-ba3b6539541b.jpg,48,60,164,164,205.68,154.6,145.85,0.519091472
67,001d23ab-b224-47f7-858f-66210a41ab77.jpg,60,67,135,135,234.74,195.1,151.39,0.535928795
68,001d271f-6c1d-4d16-b75f-6b28e9d2913d.jpg,67,70,147,147,171.41,136.15,122.77,0.497204618
69,001d4390-f6b6-46d4-a321-aacee0073602.jpg,42,67,167,167,228.89,170.62,144.14,0.507562692
70,001d8c96-06e6-4fdc-8b05-9d40fbcf8e3f.jpg,55,64,139,139,202.39,152.58,148.26,0.511944808
71,001e6f2a-0ae8-4265-92da-e902ae11df33.jpg,37,70,179,179,241.75,170.31,166.48,0.34986357799999995
72,001e9e70-1189-48cd-a3fb-5b67301a9eda.jpg,41,75,162,162,163.83,95.49,82.11,0.44517286899999997
73,001f03e2-efe9-482c-8eed-199268daff16.jpg,47,73,144,144,191.65,122.9,113.43,0.6419350770000001
74,001f439b-4f21-4dea-94c4-a29ba0b45b12.jpg,43,59,151,151,173.98,125.27,104.16,0.514349895
75,001f6f5d-afcf-4bfa-901d-83616241b2fd.jpg,43,76,155,155,182.66,140.74,149.73,0.51312611
76,001f7d87-c3aa-4168-8f53-db0e9b245994.jpg,49,69,156,156,223.58,181.91,172.46,0.649346766
77,002147e1-e480-4bd1-8448-e946f72625c6.jpg,53,65,141,141,216.02,165.97,149.41,0.55685697
78,00214b68-76f0-4612-99c8-e275e7087485.jpg,37,54,172,172,205.98,165.02,154.48,0.408999833
79,00218daf-eca1-4020-8326-97987202a173.jpg,40,64,146,146,213.49,163.0,127.54,0.476954056
80,0021afe8-a4fc-47ba-9d15-e2ee80ee16e1.jpg,34,47,165,165,188.26,135.54,113.88,0.487789388
81,00227065-0697-42e2-b1bb-6690d7454a1e.jpg,41,50,162,162,168.97,149.34,150.44,0.475956745
82,0024e7f3-a8f2-4256-8c5e-f88d4636c59d.jpg,0,0,0,0,0.0,0.0,0.0,0.0
83,0024ff6d-37c7-4483-a30b-cbd618b4a20a.jpg,47,87,132,132,204.98,141.09,126.17,0.44485406
84,00250bce-b139-4c0e-a8e0-259b91e35552.jpg,49,65,155,155,237.99,189.92,193.24,0.709628392
85,00250e8b-a9d6-4539-bcde-5f32988b98f0.jpg,47,75,155,155,207.21,167.87,142.55,0.537184443
86,00259c08-7551-4aa5-ae0c-58cc342c6723.jpg,39,87,168,168,187.15,128.2,133.38,0.31385768
87,0026465b-deac-4731-ac37-9badc6545bd7.jpg,46,58,142,142,151.24,116.31,108.32,0.44329811399999997
88,0027cf23-f645-46a2-aad9-f97b8ad6b216.jpg,34,65,166,166,206.22,149.76,133.9,0.509228665
89,0027dd26-daf3-4045-9c7f-9ded112adbb6.jpg,0,0,0,0,0.0,0.0,0.0,0.0
90,00282072-dddb-4cee-82d1-bc3bcf7a3354.jpg,72,71,118,118,179.67,144.07,115.84,0.34677220000000003
91,0028244b-7b8f-4823-9b95-be8a3f7223ed.jpg,0,0,0,0,0.0,0.0,0.0,0.0
92,00282f59-b85f-4161-9a20-822681f0017f.jpg,40,54,170,170,189.42,155.21,130.79,0.429564444
93,002846c1-3a61-47a3-9717-ecdc347bd567.jpg,42,81,171,171,226.93,164.54,148.78,0.328106423
94,00285192-b4e8-49ff-b60d-52f8049186e3.jpg,61,83,131,131,190.99,151.96,142.59,0.450065861
95,002927ab-4e56-452c-b519-8289c5ede141.jpg,68,79,140,140,202.95,138.07,106.55,0.431175883
96,0029483d-b1c7-4f27-ac9b-f58a59738b0e.jpg,56,53,139,139,216.73,163.13,157.65,0.40561086399999996
97,0029e5ea-2e8c-4b0b-87db-c6901b5a9e07.jpg,53,83,163,163,210.56,168.98,175.33,0.34220195200000003
98,002a7681-f5f5-457c-ae53-ac3756ac34ad.jpg,73,64,137,137,199.16,136.17,126.0,0.377495111
99,002a84cc-195f-43f4-9287-4d50821e4384.jpg,39,68,141,141,198.73,147.35,164.76,0.456838872
100,002a9788-5338-40c5-90ac-e8c85d685589.jpg,49,69,151,151,229.31,167.79,171.76,0.77424189
101,002abd7d-801d-4371-a453-03edf7b8da67.jpg,54,58,142,142,192.51,135.78,134.62,0.481634878
102,002b935c-ad13-4126-8e0f-47ba832171b7.jpg,51,67,153,153,210.56,152.25,137.19,0.703606532
103,002c3819-5bae-4be0-9c21-c05b6894d259.jpg,54,83,145,145,196.47,146.86,125.51,0.533860882
104,002c4dc0-202f-4739-923b-61f259d6807c.jpg,63,73,128,128,101.62,82.43,69.65,0.413877276
105,002c6093-6323-47e6-ab46-209659163512.jpg,43,62,172,172,197.21,137.25,145.54,0.418914612
106,002d7a98-d83f-4ec3-af5d-5d3554ca3439.jpg,50,72,155,155,194.77,153.17,156.35,0.563560889
107,002da04a-0254-4c2e-8f6c-3a91a5a67a27.jpg,42,56,158,158,187.27,157.65,147.83,0.567581197
108,002dc19a-610b-4965-8fc4-15115c4e51fd.jpg,39,55,175,175,193.48,149.71,140.43,0.382639757
109,002e5a7c-07f0-491d-8a97-d72ac5305526.jpg,35,67,164,164,214.62,169.1,160.05,0.598452891
110,002f6ecd-631b-42b2-9f4c-57ae9f7bc095.jpg,58,62,142,142,185.26,137.53,134.19,0.52342485
111,002fb277-52b7-4122-adb2-d86790c9ed2b.jpg,43,62,169,169,173.75,181.23,185.19,0.44541689
112,0030e412-4782-4b3a-b318-29d6390cce91.jpg,66,64,143,143,230.61,183.28,154.27,0.435072413
113,0031ce7b-4966-4931-be60-13d4a2dc6458.jpg,39,81,169,169,230.63,183.97,168.86,0.33963653899999996
114,00337df9-ef28-45b9-a9ea-13c418f516c8.jpg,53,59,144,144,115.57,77.61,71.17,0.521731564
115,0033865e-b25f-4d22-8297-a1d7427ca9e9.jpg,58,77,141,141,213.97,150.06,156.5,0.62409052
116,0036127d-c00c-4d07-b797-a952f2ead735.jpg,56,76,149,149,191.82,141.95,137.06,0.48678586700000004
117,0036b5a1-8bbe-4647-aebf-ae22d251c7fb.jpg,46,62,150,150,208.29,162.66,164.36,0.601397426
118,00370699-8e54-47f9-a9ef-897040668c25.jpg,49,68,154,154,210.05,161.42,165.36,0.716818072
119,0037504b-f0cb-41d5-bf93-764d8133b20e.jpg,52,69,161,161,221.26,171.98,174.4,0.49429020799999995
120,0037f5cd-5c7f-4cb2-a93c-dca700e629d8.jpg,62,68,137,137,217.82,170.74,168.87,0.5819164000000001
121,00383d90-85a7-4483-8fda-83708a0b5103.jpg,44,64,175,175,204.11,167.14,146.34,0.404094468
122,0039abd3-526d-4d39-951c-95ea781904be.jpg,0,0,0,0,0.0,0.0,0.0,0.0
123,003a049d-0680-4e5c-b2cd-b06af2ba9e76.jpg,64,62,132,132,163.17,130.85,124.64,0.42341181899999997
124,003a4eb3-ad28-4ae7-ab4d-e5e02a787e53.jpg,46,71,167,167,223.62,184.75,166.08,0.44217140299999996
125,003c74b9-537b-4853-938d-84331a61559c.jpg,46,57,156,156,231.63,157.6,144.94,0.5733044589999999
126,003c9af0-7c39-4034-86e7-5260378b0e55.jpg,29,58,188,188,223.64,179.79,153.46,0.298952951
127,003ca19f-d3c5-487a-b43a-cfe5ca856074.jpg,47,73,137,137,127.82,85.98,74.76,0.500119674
128,003cb79b-1606-4512-8b8c-d389458b4993.jpg,31,60,192,192,155.97,124.87,131.84,0.281702137
129,003cd542-91d1-4f53-8584-35fd6819e8df.jpg,52,83,149,149,207.9,162.02,160.61,0.484129307
130,003da2d5-78d0-4c3c-a6a3-982a849ef431.jpg,38,51,181,181,174.63,123.03,129.42,0.338387521
131,003dd75e-0349-4793-bd68-3f58bdd18df7.jpg,42,53,139,139,176.82,144.53,130.1,0.339749315
132,003efd82-0c00-406c-b8ac-e801e1c90c96.jpg,59,76,140,140,207.86,159.46,150.41,0.623247914
133,003f8c07-39f3-46ef-8e43-44d07054e384.jpg,46,67,120,120,139.36,96.98,99.32,0.38765574
134,0040767c-b81b-46da-bc54-bc79c84f4dbd.jpg,41,74,148,148,204.5,156.27,156.61,0.48469952299999997
135,0040b3d8-ba1b-43e5-b0b8-a7fbc4f2bc7a.jpg,74,58,128,128,178.53,149.47,157.46,0.34158604
136,00416a54-ca6a-47be-a388-55833aae46f6.jpg,53,96,153,153,199.73,167.58,173.58,0.337510652
