Name,RedBr,GreenBr,BlueBr
00c49a2e-49ae-4561-a7f2-4702e34c984f - Copy.jpg,155.49,154.73,165.33
0b4faade-4cce-498f-9019-1becc0889036 - Copy.jpg,218.5,175.83,151.67
0b750484-3926-4d1c-8478-d6c317ee5b1e - Copy.jpg,236.13,187.56,188.25
0b9209e6-b108-49f4-a9d7-c4b8cfc7db94 - Copy.jpg,231.03,192.88,202.62
0b926afa-7d3f-40f9-b0c5-922167b78317 - Copy.jpg,196.12,161.72,162.89
0b971182-18bb-4b72-b6f5-71b50d47dc1a - Copy.jpg,203.6,165.22,170.66
0bbb103b-bcb4-4bc2-9751-873f86abc3a9 - Copy.jpg,240.46,200.43,211.31
0c0c4a83-4fdb-4356-bad6-100ade16afdd - Copy.jpg,223.19,180.01,171.01
0c1b6f60-526e-48bb-b1c2-109b046988a5 - Copy.jpg,212.49,178.03,178.17
0c2d7b19-d0cc-4eb9-9d45-6d0ad39aaf1f - Copy.jpg,228.24,184.85,182.91
0c6b7823-c285-41f4-aab0-fe9d281fa948 - Copy.jpg,215.41,150.8,145.21
0c6f5475-0b7d-4a9d-8f94-f5a141e43b3c - Copy.jpg,236.44,195,174.63
0c71cfea-fad9-421b-96a8-f29944b87083 - Copy.jpg,231.96,188.92,189.53
0c7c15fd-f583-4e4c-9747-3345b09f32e3 - Copy.jpg,208.29,166.56,178.39
0e059cd7-a0e3-49ac-9a05-d2f5c7129c0d.jpg,0,0,0
0e6d1474-a34e-4831-8838-6ac920fbd9ee.jpg,241.17,202.9,199.65
0e74511c-5cf5-48fd-a8c5-04715006eb4f.jpg,240.18,212.69,201.24
0e99d230-959c-4bc7-8346-ab30eb460645.jpg,198.37,172.02,169.93
0e9c8688-fe29-4398-9f50-35171b239214.jpg,246.95,200.35,183.26
0ea2f94e-bdad-48f8-94e3-aac63a1258b3.jpg,224.48,193.82,189.87
