Name,RedBr,GreenBr,BlueBr
00000a71741-a872-427b-8e3e-2f820ccb65ad.jpg,163.72,166.88,174.64
00000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,178.23,128.81,137.75
00004c47-fe3b-46ce-bc2d-2fe223e2c897.jpg,204.89,155.16,154.19
0000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,180.56,130.4,139.31
0000fea2-7920-46fd-b0b6-9e5da503356e.jpg,177.03,119.9,127.55
000153b2-ea35-46da-a7cc-a72973743c0e.jpg,216.99,166.7,135.23
000156ea-64a9-4d86-afdf-91ca66be216d.jpg,187.91,142.57,128.99
00028123-b71c-4e1b-a83b-5766d639a373.jpg,185.13,146.91,142.97
0002be12-de6d-41f2-ac83-59760f29401f.jpg,174.83,150.97,150.35
0002ed81-0262-43b1-89d4-a0403e5f0c28.jpg,157.31,86.43,69.47
00033a20-a7ac-4fee-a245-fbfa6716c139.jpg,199.94,157.5,145.76
00043746-bd61-4f39-acdc-c6804ca4ffc0.jpg,220.25,178.68,174.01
00050569-4d6a-4dc5-8b1e-2363b78571f4.jpg,211.32,151.29,130.26
0005d51d-df40-4579-93b1-611148b47e88.jpg,134.81,95.78,87.79
0005e6cb-76d1-4e06-abdb-3181e3d13909.jpg,197.52,141.44,146.63
0005eb31-aaf8-4931-bf53-3d8f040e2d8a.jpg,209.83,165.8,151.58
00060081-a50a-4f80-9a39-962a237b295e.jpg,209.79,175.37,170.01
0007210c-e6bd-4447-9fc8-d23bce82cfa1.jpg,204.64,132.33,99.79
00077da0-8ee8-4591-a039-a4b9ac5ad76e.jpg,153.26,93.84,81.19
00083b92-ceb0-4dd1-b8ad-199e81ec34a5.jpg,208.72,167.42,171.87
0008410d-49ed-444d-b9dc-4f5ab7ae5d12.jpg,175.12,131.03,125.14
0009a40c-3c5b-44ff-84d3-62bdf4756e38.jpg,197.18,143.69,138.41
000a7866-6f5f-423b-a9ea-f47b79a034c8.jpg,239.05,187.82,163.77
000afafc-26e6-4374-875c-47d12948d835.jpg,159.36,123.15,117.51
000afec1-fc1b-4700-9b6f-bf7d51197f5c.jpg,207.35,161.72,129.1
000b1933-9d15-45b1-a907-49efe334babf.jpg,208.27,140.84,120.77
000b4141-6310-4848-bae4-1cefa1215de7.jpg,177.78,125.93,115.84
000b735d-90ab-4f8e-bafd-15954799d15d.jpg,202.39,157.66,164.37
000b836d-c2e7-487f-9624-375c41690ae5.jpg,228.09,185.46,186.74
000bea74-bae6-491e-9e8f-ecf2b63b13a1.jpg,226.26,157.52,145.54
000da9a2-ffec-4a57-8029-0a549d9a5566.jpg,213.74,180.94,181.81
000db474-7afb-4e5d-a346-0cf4f456828d.jpg,208.38,125.22,96.26
000e130f-c220-4a27-97b0-8fc72921b108.jpg,192.98,146.18,124.99
000e173c-dc1e-416c-a391-c711783ba2a8.jpg,182.94,136.16,127.19
000e4019-fec8-406e-9fd5-9b6df85633be.jpg,225.93,180.22,173.28
000e9a92-090c-4472-8993-14a8c7406c03.jpg,207.5,135.3,149.84
000ea717-73b8-49da-8961-45aea2f274c8.jpg,146.93,121.42,133.37
000f311c-c22e-4885-a640-2b2513de1ce2.jpg,224.11,168.67,145.24
000f9e50-58ec-42d7-b2dc-885d7b6940ab.jpg,205.88,147.99,127.92
000fd56a-a79b-47b9-9af3-65486ca3cc1e.jpg,191.42,147.82,136.69
001051dc-9482-415a-91ec-bc38a0c2d36d.jpg,227.44,164.06,163.54
0010f9b8-db20-4681-b33d-b96aeb65f37f.jpg,175.16,122.75,111.68
0011c7e9-a940-42c4-8055-fe7d48b794ee.jpg,171.12,150.9,155.86
0011d1d5-dca8-4bee-b8ce-41257aca9bc7.jpg,201.26,165.02,189.38
0012442c-990e-4dd3-acdc-5ee1dfacef58.jpg,215.83,154.35,151.27
00129fb6-1e98-4ff2-8f3e-92cf87f09dc9.jpg,206.75,157.16,151.32
0012ee9d-871a-448f-a288-e6f54554b3e6.jpg,197.3,157.61,141.9
0013f0a9-7a21-4f9f-b0cb-5f0042596460.jpg,223.76,151.81,144.54
001469fe-1b6b-45c7-ac4f-ce3b16ddb5cd.jpg,207.77,152.08,145.4
0014b8c4-a923-4515-bc2c-afaf08f4706c.jpg,210.5,157.6,154.76
0016db61-bcec-474c-99f3-a7c682642947.jpg,184.65,124.76,107.81
0017028c-2fbb-465d-beaa-18f54bed4524.jpg,153.36,113.16,94.04
0017355d-0855-4ca9-a70b-2fb9b78123c4.jpg,149.97,122.67,107.74
0017c94a-3af8-47ce-9da5-100a1f1c8fa7.jpg,186.67,144.95,158.17
0018428d-d2b2-44d9-a3a5-b2f66c73fbcd.jpg,223.89,171.93,148.76
00186ffd-7e41-43d4-ae27-836ce8a8a7af.jpg,208.21,162.33,152.41
0018ca1d-d885-4ada-b208-1e167acf5093.jpg,184.15,152.23,130.89
0018dd65-4f66-4493-962a-d656d2a02ef9.jpg,209.57,160.64,150.51
00190ea6-6458-4baa-a203-b7c2e889f285.jpg,148.3,121.68,110.84
001a031f-22a2-4ee1-b398-f0310a0cce90.jpg,158.97,129.51,111.51
001a5380-b637-4035-bddf-30c7f6f84b2d.jpg,140.86,81.27,79.01
001a8728-4cf4-44ec-b423-bfeb5dd05e6f.jpg,162.42,126.18,113.04
001a91aa-2653-4e66-a9df-d73104986c01.jpg,163.22,119.07,101.65
001b3e58-0489-4367-bb1f-98de0a6efb3f.jpg,0,0,0
001c8977-d70c-4df9-beb7-bc267fb09427.jpg,233.55,173.47,172.37
001cdd15-376c-41c0-8868-9351577cb6d1.jpg,184.61,153.07,151.74
001d1a3c-bac2-49b6-b968-ba3b6539541b.jpg,205.68,154.6,145.85
001d23ab-b224-47f7-858f-66210a41ab77.jpg,234.74,195.1,151.39
001d271f-6c1d-4d16-b75f-6b28e9d2913d.jpg,171.41,136.15,122.77
001d4390-f6b6-46d4-a321-aacee0073602.jpg,228.89,170.62,144.14
001d8c96-06e6-4fdc-8b05-9d40fbcf8e3f.jpg,202.39,152.58,148.26
001e6f2a-0ae8-4265-92da-e902ae11df33.jpg,241.75,170.31,166.48
001e9e70-1189-48cd-a3fb-5b67301a9eda.jpg,163.83,95.49,82.11
001f03e2-efe9-482c-8eed-199268daff16.jpg,191.65,122.9,113.43
001f439b-4f21-4dea-94c4-a29ba0b45b12.jpg,173.98,125.27,104.16
001f6f5d-afcf-4bfa-901d-83616241b2fd.jpg,182.66,140.74,149.73
001f7d87-c3aa-4168-8f53-db0e9b245994.jpg,223.58,181.91,172.46
002147e1-e480-4bd1-8448-e946f72625c6.jpg,216.02,165.97,149.41
00214b68-76f0-4612-99c8-e275e7087485.jpg,205.98,165.02,154.48
00218daf-eca1-4020-8326-97987202a173.jpg,213.49,163,127.54
0021afe8-a4fc-47ba-9d15-e2ee80ee16e1.jpg,188.26,135.54,113.88
00227065-0697-42e2-b1bb-6690d7454a1e.jpg,168.97,149.34,150.44
0024e7f3-a8f2-4256-8c5e-f88d4636c59d.jpg,0,0,0
0024ff6d-37c7-4483-a30b-cbd618b4a20a.jpg,204.98,141.09,126.17
00250bce-b139-4c0e-a8e0-259b91e35552.jpg,237.99,189.92,193.24
00250e8b-a9d6-4539-bcde-5f32988b98f0.jpg,207.21,167.87,142.55
00259c08-7551-4aa5-ae0c-58cc342c6723.jpg,187.15,128.2,133.38
0026465b-deac-4731-ac37-9badc6545bd7.jpg,151.24,116.31,108.32
0027cf23-f645-46a2-aad9-f97b8ad6b216.jpg,206.22,149.76,133.9
0027dd26-daf3-4045-9c7f-9ded112adbb6.jpg,0,0,0
00282072-dddb-4cee-82d1-bc3bcf7a3354.jpg,179.67,144.07,115.84
0028244b-7b8f-4823-9b95-be8a3f7223ed.jpg,0,0,0
00282f59-b85f-4161-9a20-822681f0017f.jpg,189.42,155.21,130.79
002846c1-3a61-47a3-9717-ecdc347bd567.jpg,226.93,164.54,148.78
00285192-b4e8-49ff-b60d-52f8049186e3.jpg,190.99,151.96,142.59
002927ab-4e56-452c-b519-8289c5ede141.jpg,202.95,138.07,106.55
0029483d-b1c7-4f27-ac9b-f58a59738b0e.jpg,216.73,163.13,157.65
0029e5ea-2e8c-4b0b-87db-c6901b5a9e07.jpg,210.56,168.98,175.33
002a7681-f5f5-457c-ae53-ac3756ac34ad.jpg,199.16,136.17,126
002a84cc-195f-43f4-9287-4d50821e4384.jpg,198.73,147.35,164.76
002a9788-5338-40c5-90ac-e8c85d685589.jpg,229.31,167.79,171.76
002abd7d-801d-4371-a453-03edf7b8da67.jpg,192.51,135.78,134.62
002b935c-ad13-4126-8e0f-47ba832171b7.jpg,210.56,152.25,137.19
002c3819-5bae-4be0-9c21-c05b6894d259.jpg,196.47,146.86,125.51
002c4dc0-202f-4739-923b-61f259d6807c.jpg,101.62,82.43,69.65
002c6093-6323-47e6-ab46-209659163512.jpg,197.21,137.25,145.54
002d7a98-d83f-4ec3-af5d-5d3554ca3439.jpg,194.77,153.17,156.35
002da04a-0254-4c2e-8f6c-3a91a5a67a27.jpg,187.27,157.65,147.83
002dc19a-610b-4965-8fc4-15115c4e51fd.jpg,193.48,149.71,140.43
002e5a7c-07f0-491d-8a97-d72ac5305526.jpg,214.62,169.1,160.05
002f6ecd-631b-42b2-9f4c-57ae9f7bc095.jpg,185.26,137.53,134.19
002fb277-52b7-4122-adb2-d86790c9ed2b.jpg,173.75,181.23,185.19
0030e412-4782-4b3a-b318-29d6390cce91.jpg,230.61,183.28,154.27
0031ce7b-4966-4931-be60-13d4a2dc6458.jpg,230.63,183.97,168.86
00337df9-ef28-45b9-a9ea-13c418f516c8.jpg,115.57,77.61,71.17
0033865e-b25f-4d22-8297-a1d7427ca9e9.jpg,213.97,150.06,156.5
0036127d-c00c-4d07-b797-a952f2ead735.jpg,191.82,141.95,137.06
0036b5a1-8bbe-4647-aebf-ae22d251c7fb.jpg,208.29,162.66,164.36
00370699-8e54-47f9-a9ef-897040668c25.jpg,210.05,161.42,165.36
0037504b-f0cb-41d5-bf93-764d8133b20e.jpg,221.26,171.98,174.4
0037f5cd-5c7f-4cb2-a93c-dca700e629d8.jpg,217.82,170.74,168.87
